,text
57,"You should tell people (in other states) how they can help...donate blood, money, time etc. #HurricaineHarvey #HARVEY @CNN @AnaCabrera"
58,Please retweet: South Texas Blood Ctr needs blood right now for #Harvey survivors https://t.co/cVK3Ifl0kk
59,"Donate $ (Red Cross, Salvation Army, etc) or blood to help #Harvey victims- unfortunately, the event is long-lasting.https://t.co/Q1OKVUPMAN"
60,"Want to help #Houston? Donate blood, diapers, and $$$. #Harvey
https://t.co/H8by5Fs2QG"
61,"Given the severity of #Harvey, please consider donating blood. https://t.co/g9JdrBvsKq"
62,Help those affected by #Harvey. If I can't donate $ there are plenty of people/animals in need of food/shelter/meds &amp; blood donations.
63,"I donated blood this morning in Decatur, GA.  #WeAreAllTexas #Harvey https://t.co/CBnJLJ7gvG"
64,Donating blood for #harvey. #Unt is having a blood drive tomorrow 9-6 in one of the dorms. Easy (and free) way to h… https://t.co/rmKzCIO3Vq
65,"How to Help the @RedCross Respond to #Harvey
#RedCross is accepting monetary/blood donations #houstonflood https://t.co/BMoPT9VoY9"
66,Donors of all blood types needed to help our neighbors in need. #PrayersforTexas #Harvey #Houston https://t.co/aTtH8ZX9QM
67,Donors of all blood types needed to help.  #PrayersforTexas #Harvey #Houston https://t.co/RBJf4xdEMa
68,Donors of all blood types needed to help our neighbors.  #PrayersforTexas #Houston #Harvey https://t.co/nyPdAzaTO2
69,"Medical volunteers need basic first aide supply donations at GRB: bandages, gauze, gloves, blood pressure cuffs, etc. #abc13 #harvey"
70,Praying for the safety &amp; well being all of coaching families affected by #Harvey. You can help by giving to @RedCross or donating blood. 🏈🙏🏻
71,"Just made an appointment to donate blood at the South Texas Blood &amp; Tissue Center. Texans, give if you can. https://t.co/IMIJWS1MH5 #Harvey"
72,"If you can donate blood, please do, SA folks. #Harvey #PrayforTexas #TexasStrong https://t.co/PY1h0uuHIi"
73,"Consider helping #Harvey victims by donating blood, platelets or plasma."
74,"Please help #Texas and all those affected by #Harvey. Donate blood, money, baby/hygiene products, food, school supplies. #redcross #stbtc"
75,Evacuees are still in need of food &amp; clothing donations. Mayor @Ron_Nirenberg also encourages residents to consider donating blood. #Harvey
76,One thing we as Memphians can immediately do as we watch the effects of #Harvey is to donate blood. Call @Lifeblood_Org and schedule a time.
77,@bloodless_coup So you believe POTUS has no responsibility to do anything? #Harvey
78,"Dentonites who want to help with #harvey...blood donor places aren't open today, but location is open in Lewisville: https://t.co/5j7drY3etj"
79,Mom: I have to do a blood transfusion. I still have to work. #Nurses @HoustonTexasMedicalCenter. #Harvey #HoustonFlood #ThatsMyMom
80,"It isn't a bloody flood. #Harvey caused the flood. He is not only totally self-obsessed and inept, he is an idiot.… https://t.co/bLlQXczOuk"
81,"Dentonites who want to help with #harvey...blood donor places aren't open today, but location is open in Lewisville: https://t.co/zI8847ImWB"
82,"If you're going to match @RedCross monetary donations, consider giving $ for photos of followers giving blood. #Harvey"
83,"Friends, we are safe &amp; dry. Other parts of TX have been hit hard. One way to help from afar: donate blood. Hospitals in shortage. #Harvey"
84,"Remember folks, @RedCross always needs blood donors. I gave a pint of my sweet sweet O- yesterday. Can you donate any day this week? #Harvey"
85,"#Harvey is causing serious damage. I know donating $$ &amp; blood are the best ways to help, but I wish I could do more. https://t.co/NkVCORv0pT"
86,"Summary of how to help everyone affected by #Harvey #houstonflood #Harvey2017 
- donate $
- volunteer
- give blood… https://t.co/a9P54AHT8O"
87,#harvey how you can help: We're donating blood and some $$ https://t.co/oKOjNdPoVy
88,@realDonaldTrump Build infrastructure for coastline cities instead of the bloody border wall! #Harvey #HurricaneHarvery #Harvey2017
89,@MEDICblood @commitforlife Where can we donate for #harvey victims?
90,#houstonflood Give what you can to .@RedCross. Donate blood. Help the people affected by #Harvey.  https://t.co/XCDz1UizrU
91,Blood Drive today at Tipitina's! Organizers are hoping you give blood for the victims of #Harvey https://t.co/9yBdtpYWAy
92,"Houston Chronicle list of legitimate donation sites for $$, goods, food, &amp; blood donations
https://t.co/3tSEaXNREF… https://t.co/hOu2sQTGe8"
93,if you want to help in the wake of #Harvey but you don't know what you can do - #donateblood #savealife https://t.co/MBS5RicWdi
94,"Everyone..today we will have 2 blood mobiles set up at the KIII studios for people to come donate blood to help #Harvey victims. 

5002 SPID"
95,"Food, water, blood &amp; monetary donations are all needed for those affected by #Harvey.  Text ""HARVEY"" to 90999 to make $10 Red Cross donation"
96,@CNN has the blood of the #Harvey dead on THEIR hands. #MediaMurders https://t.co/QStBeBaixQ
97,"Red Cross cites need for blood, monetary donations in wake of #Harvey https://t.co/IdokbZWxWs"
98,"As a Floridian, whose lived through so many hurricanes, you are an incompetent leader with blood on YOUR hands. Res… https://t.co/lDoYBPMk0m"
99,"💧#Harvey

📌ChooseYourDay📆

🌪Hurricanes brings with them an increased need for blood and other donations. Please…https://t.co/IvB4JgThNS"
100,The American Red Cross is accepting monetary and blood donations to help those affected by #Harvey. https://t.co/EPOeLQeanv
101,#harvey #Trump  #AfghanStrategy #Russia You murder innocent children. You bleed the blood of Muslims. Almighty Alla… https://t.co/wyJagn52mW
102,💔🇺🇸#Harvey Please donate to @RedCross They have a lot of work to do. Donate blood too. Every drop counts.
103,Why is #DonaldTrump doing emergency #Harvey cabinet meeting by teleconference? Interrupt your weekend and get back to the bloody #WhiteHouse
104,"Texas is underwater. Now is the time to give blood, save lives, help each other. #DACA #NAFTA #Harvey #FoodBank https://t.co/xnuDBbMBId"
105,"How To Help The #Victims Of #Hurricane #Harvey. Donations of #food, #money &amp; #blood are all sought. #US #American… https://t.co/heFAa07WEB"
106,"Pray, donate, volunteer, give blood. That is what America needs today &amp; for some time to come. #Harvey #Harvey2017 #HarveyStorm #HarveyFlood"
107,"@DisasterPIO RESIGN, Master of Destruction! Damage/blood on your hands as well as local leaders who knew shit. #Harvey"
108,"@billprady I donated $40, will be giving blood tmw
@realDonaldTrump , your wall is stupid and the shutdown would be… https://t.co/GJfHTUmsen"
109,"there are no Red Cross blood drives near me, I will figure this out :| #Harvey"
110,@WWLTV do y'all know of any blood drives in NOLA that will help #Harvey victims?
111,.@BloodworksNW sends blood supply to Texas to help in wake of #Harvey. Donations urgently needed to replenish suppl… https://t.co/8k4uQLkAIn
112,Thoughts and prayers are with #Texas; there's an emergency need for #blood. #redcross #donate #harvey #hurricane   https://t.co/nCLUISECke
113,"Donate diapers https://t.co/5BS9FSrqeX
Donate to The American Red Cross https://t.co/OfpZIcpM45
Donate blood… https://t.co/ptKtJTQUOf"
114,Want to help those affected by #Harvey? Give blood tomorrow at Holy Name in Teaneck. https://t.co/6atc4lbw2G via @northjersey
115,"My blood donation is at step 2 of its journey – processing! 

Schedule an appointment to #GiveBlood &amp; help!… https://t.co/MXrWW0RXrJ"
116,"Victims of #Harvey will need food, money, housing and clothing -- others may need blood. What you can do to help -… https://t.co/di3hLOeeOm"
117,"Make sure you pray for #Houston so you don't actually have to donate money, blood, or time to actually helping people. #Texas #Harvey"
118,"Doctors working through #Harvey have said the med center is low on supplies, especially blood and platelets. Pls donate if possible/safe!"
119,Alpha Phi Omega at @VCU is hosting a #blooddrive with the @RedCross  this Thursday to help those affected by #Harvey https://t.co/HqwDmDMKTg
120,"From donating blood to volunteering your time, there are ways you can help people affected by #Harvey. https://t.co/XiSwSTwdwU"
121,#Chattanooga Another way to help after #Harvey - @bloodassurance is in need of donations for #Texas Find a center @… https://t.co/SVZ5ZQyqCB
122,#Harvey UC blood center urging donors to make appointments https://t.co/uYoZZVEGhJ https://t.co/Ue66NY2TXl
123,Growing list of ways to help #Harvey victims in #Houston + #Texas. Give $ or blood or shelter. https://t.co/kaMJhQKEAV #HurricaneHarvey
124,"#Austin fam,  @CapitalFactory's hosting a blooddrive on Fri 4 those affected by #Harvey. 5 spots left. Sign up here: https://t.co/68gJINg4mh"
125,#Harvey UC blood center urging donors to make appointments https://t.co/9c0nK0C4WV https://t.co/ZqF0Z6VuzB
126,"#Harvey is #ClimateChange, #DumbDonald. You have blood on your hands, #traitor. https://t.co/GepAYNTtQo #LOCKHIMUP #karma"
127,"Before you donate read the orgs current need's list Excess stuff clogs operations Money first, specific food, blood &amp; peeps w/boats. #Harvey"
128,Thk u! Red Cross asking 4 #blood donations: even in NJ it can help save lives! Many Hospital blood banks running ou… https://t.co/sE1IWZ368D
129,"Donate blood to help from afar. 
#Harvey #RedCross  https://t.co/D3UDHtlJGQ"
130,"Give money, blood, or your time. Anything else could be a waste--&gt; How you can help #Harvey victims https://t.co/kv2BcpT1IU"
131,"Help with #Harvey efforts by donating blood. @LifeServeBldCtr #bloodmobile here this Fri., 9/1, 10-1. Urgent need &amp;… https://t.co/tlyHnEaP2f"
132,The @RedCrossDFW is in need of blood and financial donors. This is a tax exemption. #giveback #Harvey #houstonflood #HoustonStrong
133,.@my1blood seeking blood donations for #Harvey aftermath. Urgent call for O- and O+ blood types https://t.co/5VyyhG0qzw
134,Karen Preston says she has high blood pressure &amp; is recovering from knee surgery. Rescued by jet ski! #houston… https://t.co/WrxPlnxII7
135,More blood is needed! #Harvey #houstonflood #HarveyFlood https://t.co/V8wMmgcjSB
136,Still want to help #Harvey victims locally? Thought about giving blood? Check these options out: @WLWT https://t.co/UZZRRyH5sS
137,You don’t have to spend money to help #Harvey victims. You can donate #blood to help with relief efforts. &gt;&gt;… https://t.co/XRuYf8S9f0
138,TODAY: How to help in the wake of #Harvey - the @buffaloredcross is holding a number of blood drives today:… https://t.co/799NQSkAPH
139,"One Blood, the blood bank here in Florida needs donations of all types of blood to send to Texas. #harvey"
140,Anyone know a place to donate blood in the San Fernando Valley? Having a hard time finding a place online. #Harvey @RedCross
141,"Victims of #Harvey will need food, money, housing and clothing -- others may need blood. What you can do to help -… https://t.co/GDEGNewtvP"
142,I scheduled a Red Cross blood donation. Join me to help save lives: Laguna Hills Blood Donation Center https://t.co/hiAOQPONx9 #harvey
143,"I can't give $. But, I will be giving blood. 

https://t.co/ixj7oHIGyx

#Houston #Harvey"
144,Go out and donate blood for #Harvey https://t.co/CdW0jOB9IB
145,"ICYMI: From blood banks to phone chargers, how Austin's #tech industry is trying to help victims of #Harvey.… https://t.co/iU8HdLkwxr"
146,"On visit to #Houston bloodbanks, Trump is animated like never before. Wants to know how much B+ they have. #Harvey #TheStrain #MAGA #resist"
147,"Hey y’all another way to help the effort for #Harvey victims is by donating blood, if you can!! Check Red Cross &amp; CarterBlood Care for dates"
148,#Harvey UC blood center urging donors to make appointments https://t.co/iuJml6tVQZ https://t.co/DAFP893kJi
149,"What the actual fuck. There may be HIV+ blood samples and 350+ gators in the waters of Houston rn.
Don't worry Texa… https://t.co/HgeXlzAosZ"
150,Want to help Texans hit hard by Hurricane #Harvey? Make a donation to @bloodassurance! https://t.co/U0W10vVza0
151,#AbileneTX response to #Harvey: blood donations needed; 2-1-1 call center busy; @GlobalSamaritan helping; and more. https://t.co/sL0mU1gNIg
152,"On a serious note: Donate #blood, Money to #RedCross, #Housing the displaced. #Harvey https://t.co/18C2p9AKGw"
153,"If you're healthy and able, remember to give blood! #Harvey"
154,"While you're giving $$ to disaster relief, consider donating blood if you're eligible. It's also necessary. #Harvey"
155,Example: You can donate blood nationwide and it can go to areas affected by #Harvey https://t.co/7Zrv6nRZFO
156,"Just went to donate blood for #Harvey victims &amp; the waiting room was completely full with over an hour wait. You're awesome, San Antonio. ❤️"
157,If you want to help #Harvey victims give money. If that is not personal enough then #Giveblood
158,@connectforlife needs blood donations for #Harvey relief #SanAntonio  https://t.co/n572r3CkoL or call 210-731-5590 https://t.co/I0NrGQ5Rnp
159,"#Laredo if ya can't send $/food 2 #Harvey Victims, u can still help by donating blood tmrrw at #BP station off Lp 20 https://t.co/BYSqErpNx7"
160,"Victims of #Harvey will need food, money, housing and clothing -- others may need blood. What you can do to help -… https://t.co/q7fF9VJyuM"
161,Keep texting in your donations! You'll get through. Give blood at @bonfilsdotorg if you can too! #Hope4Houston… https://t.co/qPS8BbUnnK
162,Cannot give financially to relief efforts? Donate blood and plasma. Give the gift of life. Texas banks will be running short soon. #harvey
163,"Yo, even if you cannot donate your time, food, shelter or money, you can possibly donate blood. They're needing THA… https://t.co/b3I2CRlL3R"
164,Want to help those affected by #Harvey? Make an appointment today to donate blood. #HoustonFloods #Texas #Louisiana https://t.co/vCuQeSB0YK
165,"Officials: Urgent need for blood donations for #Harvey victims. Donate at your local blood bank. If you are eligible, please help! Thanks!"
166,"Officials: Urgent need for blood donations for #Harvey victims. Donate at your local blood bank. If you are eligible, please help! Thanks!"
167,CALL FOR @okblood DONORS.  Blood being sent to Houston area to help those affected by #Harvey #flooding.… https://t.co/mz9SpMQZY0
168,CALL FOR @ABIblood  DONORS. Blood being sent to Houston area to help those affected by #Harvey flooding.… https://t.co/l7fuvN8N9o
169,@NoYoungblood SAVED ME &amp; MY KIN DURING #HARVEY AND IS AN AMERICAN HERO 🇺🇸
170,CALL FOR @tx_blood DONORS. Blood being sent to Houston area to help those affected by #Harvey #flooding.… https://t.co/Wirk6Hxd79
171,SAN ANTONIO: @connectforlife needs blood donations for #Harvey relief. Make appt. by visiting… https://t.co/PW41QTpZNi
172,"There's a big need for blood donations, so @connectforlife has extended their donation hours. Visit any #SATX donor… https://t.co/4wSgzQ9Bdz"
173,"#RedCross can use $$$, blood donations, and prayers. Text HARVEY to 90999 to make a $10 donation for those in need. #Harvey"
174,"Go give blood! 
#harvey"
175,"@NoYoungblood is trying to rescue me home and keeps shouting ""hurricane law!"" at every light before running it. #harvey"
176,.@my1blood seeking blood donations for #Harvey aftermath. Urgent call for O- and O+ blood types… https://t.co/h8WPuLBtzS
177,Help victims and evacuees of #Harvey by donating blood today. Find a donation site nearest you ➡️… https://t.co/eiNVAThAO2
178,"Here are some examples from HuffPost about how to #changetheworld for survivors of #harvey

#donate #donateblood... https://t.co/yenVWTlGER"
179,Officials: Urgent need for blood donations for #Harvey victims. Donate at your local blood bank and learn more here… https://t.co/uR2n6qjKdm
180,"TY #America for asking where you can give blood to help our #Harvey patients. If you are not in SoTex area, visit https://t.co/E0ZhMAUJdt"
181,.@MayorAdler: There is a need for blood donations. Go to https://t.co/OFXwCcdsTD to make an appt 512-206-1266. Type O badly needed #Harvey
182,"From donating blood to volunteering your time, here are ways to help those affected by #Harvey. 
https://t.co/t9EOy6rE5Q"
183,"If you’d like to help people affected by #Harvey, donate blood at Bloodworks Northwest. Find a location near you:... https://t.co/Mm6EIVOCEy"
184,"Central Fla. orgs @my1blood, @SalvationArmyUS are sending aid to Texas. Here's how you can help:… https://t.co/G2JYEx53RW"
185,Scott and White Blood Center #Temple is accepting blood #donations to help victims and evacuees of #Harvey https://t.co/ixL5XS6By5
186,RETWEET: @my1blood urgently seeking blood donations of all types for #Harvey victims. Urgent call for O- and O+… https://t.co/MCqpwRVmaB
187,Here's how you can help the victims of #Hurricane #Harvey @CNN https://t.co/T9qduYeJnI donate #time #money #blood
188,Question for @UNTsocial : Does #UNT have any plans for a blood drive (or something similar) to help #harvey victims?
189,"#Harvey Donate blood: desperately needs more than 2,000 units of blood. The biggest need is for O pos &amp; O neg https://t.co/gVRjzE6HYh"
190,#Harvey #blood #donation https://t.co/4vYUt9yaXY
191,Urgent need for blood donors after #Harvey. Here's how to help: https://t.co/dUf4Dlqpz6 #Houston https://t.co/HbFpFiMpx7
192,"@BillBishopKHOU ""This #Harvey feller is a cold-blooded desperado!""...- ""We can take him!"" #HurricaneHarvey… https://t.co/clpF7iRhW1"
193,The need for donated blood is expected to remain high in the wake of #Harvey. @CarterBloodCare drive at JPS on 9/15… https://t.co/PPfkTDu14t
194,How North TX can help: To make blood donations Call 800-366-2834 or text “DONATE4LIFE” to 444999. #Harvey Read more: https://t.co/Y3eu0CzOt8
195,At Bonfils donating blood. They are collecting for #Harvey. Please donate if you can ❤️ #CO
196,Okay - Signed in at the local #RedCross blood donor center.  Could answer elig questions ahead of time online! 😎 #waywardFieldTrip #harvey
197,"Hey #RVA, if you want to help folks hit by #harvey you can donate blood tomorrow. Still slots open. cc:@RedCross  https://t.co/NAu8Xv6z4D"
198,You can help #Texas after #Harvey by giving blood! https://t.co/71JCLQKgUg
199,"texas needs diapers, clothes, places to stay, and more. i'll be donating blood on saturday. #harvey https://t.co/gscP0qMJQl"
200,Donating blood today to the American Red Cross! My donation will go directly to the areas affected by #Harvey Please do the same. PEACE 💙
201,"The survivors of #Harvey need your help, whether by a monetary donation, giving blood, or volunteering.… https://t.co/fYIggwanIZ"
202,The South Texas Blood and Tissue Center (@connectforlife) is seeking blood donations. #Harvey https://t.co/xX49isvhC0
203,The South Texas Blood and Tissue Center (connectforlife) is seeking blood donations. #Harvey https://t.co/SJhOF1gbWA
204,The South Texas Blood and Tissue Center (@connectforlife) is seeking blood donations. #Harvey https://t.co/vnuXQoXpiC
205,We have 21 of 69 slots filled for @indianablood blood drive this Thursday at MHS. Donation is critical across the country due to #Harvey
206,Trying to get your red cord. Please consider donating as many Texans desperately need blood transfusions in Wake of #Harvey
207,"As #Harvey flooding impacts nation's blood supply, Tri-State urged to donate: https://t.co/mVM4lsaxW3 https://t.co/pSjjgnaJkg"
208,2) He pooh-poohed #Harvey hitting #Houston when @GregAbbott_TX told him to evacuate. Trump is responding. The Dems have blood on their hands
209,Financial donations are best way to help #Harvey. You can also register to volunteer and/or donate blood! #redcross https://t.co/UElaTU05Cn
210,Donate blood. Anyone anywhere. Contact your local Red Cross for a blood bank. #Harvey #Houston #PrayersforTexas
211,"Cynthia from Abilene, happened to be @bswhealth in Temple, donates blood to help victims/evacuees of #Harvey… https://t.co/7zGE81lEPq"
212,"Victims of #Harvey will need food, money, housing and clothing -- others may need blood. What you can do to help -… https://t.co/GO4hMVnWU2"
213,"Ways to help #Houston after #Harvey. Donate money. Provide food, shelter. Give blood. More: https://t.co/az2uoUK6mQ"
214,Help victims &amp; evacuees of #Harvey donate @bswhealth blood center in Temple until 6pm https://t.co/gdIe6f1U34
215,"Want to help victims of #Harvey in #Houston &amp; along the Gulf Coast? Please consider a donation to @RedCross - and they'll need blood, too!"
216,I really hope there are good people to help when we're old. If you can donate. Anything from blood to canned goods could help. #harvey
217,"Red Cross accepting money, blood donations for #Harvey victims. Here's how you can help https://t.co/YmFsOSZJsU"
218,For those friends who able to give blood to help the #Harvey disaster in Texas... https://t.co/jOaKmKwwl5
219,@RealDonad_Trump You insist on a bloody wall while we need reinforcements at the Gulf Coast to protect us from natu… https://t.co/saEztXGNkY
220,"If you're in Atx and looking for ways to help #Harvey evacuees, @CapitalFactory is hosting a blood drive downtown today 11am-4pm. Let's go!"
221,#Colorado! Give $ and/or blood to help #Harvey victims. Text HARVEY to 90999. Visit one of @bonfilsdotorg locations: https://t.co/3VZkqyd4Dx
222,Thank you @GMA for emphasizing the amazing work of @RedCross volunteers and the need to donate blood right now! #Harvey #HurricaneHarvery
223,We're having a blood drive with @UnitedWaySELA today! This is an easy (and free) way to help in an immense way!… https://t.co/xriwxEM4zs
224,No talk of the bloody HUGE hurricane developing &amp; making landfall along the Florida coast next week? #HurricaneHarvey #Harvey #TexasFlood
225,"More of your life-saving blood donations have been delivered to Texas to help areas hit hard by #Harvey.
To give:… https://t.co/mpEmdrLtId"
226,Go give blood / money / concerned tweets / maybe a kidney to those affected by #Harvey !! https://t.co/3xFt6F2XFP
227,A way to help during #Harvey that doesn't cost a dime: donating blood! Do it in #ABQ &amp; help a multi-state system th… https://t.co/qi95HArjCg
228,@rideatdawn I hope Obama and Bush team up to do fundraising for #Harvey. It would make Trump's blood boil.
229,#Bad #blood #lingers in #GOP as #Congress #ponders #Harvey #relief https://t.co/tcneTDzwnr
230,"Make a Difference: Help those affected by Hurricane #Harvey -(If you're unable to donate $) give blood, volunteer... https://t.co/Z4p9qKSyAG"
231,"Victims of #Harvey will need food, money, housing and clothing -- others may need blood. What you can do to help -… https://t.co/wwyLRiVl0U"
232,@cj_disabledVet @Cie2011 Get him out of office. Those hats are blood money from those in #Harvey who've lost all un… https://t.co/XRJ1FYEfI6
233,Roll up your sleeve for #Harvey hit Texas. #giveblood #donatelife #HurricaneHarvey https://t.co/dZKlTydGv9
234,Yo @indianablood where will you be today? I'm coming for yah. #Harvey #AB+
235,Hospitals in south Texas are in dire need of blood for patients impacted by #Harvey. @indianablood has sent 600+ un… https://t.co/iCIVKpjWug
236,United Blood Services of El Paso says blood donors needed following #Harvey: https://t.co/solWn8gPdK https://t.co/v4gRntR64L
237,United Blood Services of El Paso says blood donors needed following #Harvey: https://t.co/Iccbe7AjWA https://t.co/ipaHbygumU
238,I guess #harvey is done. This is cold blooded and awful but I've been loving the apocalypticism of it. I'm saddened to hear no more rain.
239,The South Texas Blood &amp; Tissue Center (@connectforlife) and @CarterBloodCare need blood donations: https://t.co/4VMx16usNw #Harvey
240,Giving blood on Thursday to help aid Hurricane Harvey victims. #fightthegoodfight #Harvey
241,"Donate $, blood and supplies. #Harvey #keepyourprayers https://t.co/HhX6xWUxWZ"
242,"Victims of #Harvey will need food, money, housing and clothing -- others may need blood. What you can do to help -… https://t.co/W6JKlT4kgo"
243,I think to help with the #HopeForHouston #Harvey I'm going to donate my blood to the red cross. I'm not sure how helpful this could be.
244,"One way to provide #Harvey relief: donate blood. Made an appointment at @CarterBloodCare, super easy! https://t.co/lW9QWRmI7p"
245,"If you're able to donate blood, please schedule an appointment to do so. #Harvey https://t.co/E9EoJB0DIa"
